Date,"Matcha","Bubble tea","Tea","Hot chocolate","Espresso","Latte macchiato","Cappuccino","Chai latte","Pumpkin spice latte","Iced coffee"
2021-02-25,2985,1846,2334,350,1138,310,972,1,1,211
2021-02-26,2840,1866,2182,370,1142,316,1071,0,0,211
2021-02-27,3094,2204,2098,302,1129,344,1016,1,1,204
2021-02-28,3252,2145,2235,381,1170,330,1010,2,0,192
2021-03-01,2825,1791,2318,358,1219,248,895,1,0,240
2021-03-02,2814,1761,2348,360,1176,276,974,2,0,218
2021-03-03,2670,1680,2273,364,1139,300,866,3,0,255
2021-03-04,2845,1748,2305,351,1208,253,895,3,1,224
2021-03-05,2873,2380,2128,380,1183,291,941,2,0,227
2021-03-06,3086,2526,2002,313,1230,371,964,2,3,203
2021-03-07,3171,2623,2143,328,1251,346,1060,2,1,230
2021-03-08,2470,1994,2161,329,1151,270,832,1,0,203
2021-03-09,2387,1869,2195,362,1068,281,905,1,1,201
2021-03-10,2378,1682,2300,380,1057,248,892,3,1,217
2021-03-11,2325,1807,2120,334,1167,281,927,0,0,188
2021-03-12,2469,1856,2057,303,1045,268,930,4,0,192
2021-03-13,2718,2103,1935,298,1119,343,1036,2,0,180
2021-03-14,2647,2197,2084,313,1173,310,1074,2,2,244
2021-03-15,2759,2022,2208,328,1210,283,878,2,1,239
2021-03-16,3377,1890,2195,327,1172,312,884,4,0,222
2021-03-17,3196,2025,2133,347,1255,291,958,0,1,211
2021-03-18,2578,2408,2181,493,1073,269,823,1,1,183
2021-03-19,2314,2043,1818,322,1045,291,904,2,1,184
2021-03-20,2617,2278,1842,307,1165,366,994,2,0,187
2021-03-21,2775,2266,1982,275,1088,398,1069,1,2,236
2021-03-22,2418,2023,2148,302,1132,339,899,3,3,201
2021-03-23,10680,1764,2162,335,1152,297,918,2,4,282
2021-03-24,6046,1834,2076,293,1157,302,855,2,4,283
2021-03-25,3076,2231,2099,321,1128,300,957,2,1,301
2021-03-26,2668,1900,1924,278,1101,316,845,1,0,245
2021-03-27,2741,2302,1749,268,1102,345,1053,1,2,251
2021-03-28,2688,2143,1880,275,1164,319,1091,1,0,230
2021-03-29,2306,2032,1977,336,1031,283,923,5,3,203
2021-03-30,2112,1998,1957,317,1074,315,826,1,2,256
2021-03-31,2035,1882,1878,215,1087,276,880,2,4,227
2021-04-01,2053,1921,1842,271,999,262,894,1,4,284
2021-04-02,2169,2108,1867,287,990,270,967,1,0,224
2021-04-03,2279,2141,1892,248,1122,358,1035,0,2,258
2021-04-04,2135,2053,1858,276,1137,286,957,4,2,241
2021-04-05,2306,1810,2070,331,1230,322,882,0,0,272
2021-04-06,2190,1920,1938,304,1184,260,876,3,1,229
2021-04-07,2327,1963,1839,271,1113,312,899,2,3,228
2021-04-08,2220,2124,2017,269,1188,283,967,0,2,258
2021-04-09,2137,3317,1788,282,1109,273,910,1,0,251
2021-04-10,2367,2612,1758,239,1144,342,992,3,1,214
2021-04-11,2724,2836,1910,241,1101,321,1096,2,0,278
2021-04-12,2405,2495,1837,296,1071,309,866,2,2,232
2021-04-13,2409,2743,1898,302,1063,326,916,0,2,227
2021-04-14,2360,3646,1911,309,994,251,888,0,0,252
2021-04-15,2116,4632,1784,272,976,275,852,2,2,235
2021-04-16,2157,3965,1838,291,1054,332,915,4,2,246
2021-04-17,2407,4921,1769,290,1072,360,1053,0,0,262
2021-04-18,2476,4602,1847,278,1147,365,1093,2,1,261
2021-04-19,2152,3903,1962,291,1087,280,920,1,1,252
2021-04-20,2115,3654,1954,280,1075,226,825,4,0,229
2021-04-21,2610,2914,2088,270,1115,271,894,1,3,258
2021-04-22,2355,2902,1992,283,1128,279,918,1,0,229
2021-04-23,2047,2826,1984,287,1076,250,983,1,2,233
2021-04-24,2388,3131,1832,248,1123,318,1018,1,2,241
2021-04-25,2285,4506,2182,279,1098,337,1033,2,1,264
2021-04-26,2163,3004,2563,271,1143,253,1051,1,0,269
2021-04-27,1953,2552,1957,374,1102,299,911,1,1,281
2021-04-28,2250,3048,2018,332,1002,287,960,2,4,258
2021-04-29,2032,2829,2012,267,1022,266,904,0,1,236
2021-04-30,2001,3443,1774,226,1022,264,928,1,1,240
2021-05-01,2163,3881,1659,279,932,299,920,3,0,241
2021-05-02,2277,3246,1848,282,1032,366,950,1,2,219
2021-05-03,4991,2908,1954,318,1058,284,981,2,1,235
2021-05-04,2343,2737,2013,314,986,281,822,2,1,211
2021-05-05,2162,2788,1885,300,946,287,800,0,1,218
2021-05-06,2046,2726,1923,286,974,290,918,1,1,217
2021-05-07,2080,2812,1752,258,1014,309,874,2,0,225
2021-05-08,2253,2989,1680,275,986,362,971,0,0,223
2021-05-09,2252,3117,1678,237,1031,336,1189,2,1,213
2021-05-10,1914,2432,1922,264,1135,309,896,2,2,223
2021-05-11,1934,2491,1844,263,1055,285,877,3,0,262
2021-05-12,1800,2541,1843,283,990,287,933,1,2,212
2021-05-13,1791,2379,1841,279,983,319,853,0,1,239
2021-05-14,1792,2562,1772,250,1028,294,914,1,2,204
2021-05-15,1934,2773,1674,273,1012,334,985,0,0,223
2021-05-16,2018,2842,1778,278,1097,342,1100,5,1,280
2021-05-17,1880,2458,1865,286,984,300,851,5,3,317
2021-05-18,1892,2486,1886,312,1009,264,859,3,6,564
2021-05-19,1895,2499,2008,313,1030,292,899,2,3,544
2021-05-20,1963,2437,2083,311,998,287,964,2,2,764
2021-05-21,1870,2435,3102,262,958,271,884,2,2,1485
2021-05-22,1929,3295,1947,267,908,299,988,1,1,734
2021-05-23,1984,3101,1846,263,1026,370,1035,4,3,532
2021-05-24,1864,2923,1925,298,1012,309,925,1,0,350
2021-05-25,1873,2727,1852,286,1003,301,1013,3,0,339
2021-05-26,1875,2624,1765,252,1063,317,1028,2,0,312
2021-05-27,1750,2621,1704,277,1045,297,924,1,1,322
2021-05-28,1784,2630,1888,270,1051,298,997,1,1,225
2021-05-29,1791,3305,1646,248,1032,336,1038,1,0,217
2021-05-30,1888,2941,1730,252,1024,344,1091,3,1,329
2021-05-31,1967,2745,2004,246,1028,309,1103,1,3,296
2021-06-01,1781,3048,1833,269,1004,322,892,2,1,340
2021-06-02,1630,3152,1758,251,1075,300,953,2,3,320
2021-06-03,1648,3018,1802,278,1116,317,962,0,2,349
2021-06-04,1706,3007,1892,222,927,325,939,0,2,313
2021-06-05,1864,2767,1581,227,1007,351,1094,0,5,322
2021-06-06,2457,2889,1807,242,991,334,1045,0,2,362
2021-06-07,1875,2681,1869,289,1014,287,980,0,2,336
2021-06-08,1783,2394,1812,236,971,301,979,0,0,323
2021-06-09,1796,2341,1869,302,1031,289,952,0,2,358
2021-06-10,1652,2397,1807,232,1020,300,953,1,3,314
2021-06-11,1800,2345,1719,218,1022,295,972,1,0,297
2021-06-12,1653,2737,1649,215,905,370,868,1,2,319
2021-06-13,1770,2723,1707,258,993,300,1051,0,1,370
2021-06-14,1984,2337,1872,259,987,298,967,2,0,338
2021-06-15,1850,2386,1771,241,1014,273,969,3,3,369
2021-06-16,1639,2340,1850,224,1008,283,876,0,2,351
2021-06-17,1666,2742,1774,237,953,250,921,1,2,333
2021-06-18,1729,2421,1697,239,892,271,1006,1,2,291
2021-06-19,1913,2469,1622,226,994,383,1167,1,1,340
2021-06-20,1948,2655,1696,260,1094,358,1172,1,2,357
2021-06-21,1689,2263,1762,243,1057,297,1027,2,0,316
2021-06-22,1814,2240,1641,294,1060,289,1004,1,1,311
2021-06-23,1787,2341,1680,228,1042,320,967,0,0,288
2021-06-24,1750,2243,1844,279,970,306,978,0,1,263
2021-06-25,1747,2427,1523,256,918,284,1011,2,0,231
2021-06-26,1871,2603,1634,241,915,411,1025,0,2,295
2021-06-27,1980,2502,1706,227,1000,444,998,1,0,327
2021-06-28,1711,2512,1727,296,994,286,1016,1,1,311
2021-06-29,1737,2390,1642,254,1021,317,1054,3,0,341
2021-06-30,1763,2578,1642,252,1062,315,989,0,0,313
2021-07-01,1808,2387,1757,310,1095,299,1086,1,0,295
2021-07-02,1760,2392,1708,294,963,333,1010,6,2,318
2021-07-03,1928,2915,1746,277,1021,322,1056,2,2,275
2021-07-04,1945,3243,1839,297,1050,368,1048,3,0,306
2021-07-05,1966,2631,2133,249,1088,337,1029,2,1,327
2021-07-06,1899,2603,2027,300,1206,375,983,1,1,321
2021-07-07,1759,2225,1777,300,1139,339,1005,1,0,286
2021-07-08,1944,2230,1829,251,1041,323,1072,2,0,297
2021-07-09,1825,2205,1827,236,1045,371,981,1,1,293
2021-07-10,1841,2549,1785,260,1080,346,1074,2,1,299
2021-07-11,1851,2460,1765,243,1018,311,1112,1,1,293
2021-07-12,1786,2388,1791,243,1071,301,1010,0,2,291
2021-07-13,1648,2337,1883,261,1095,333,1019,0,0,336
2021-07-14,1787,2350,1830,298,1069,287,1033,1,0,315
2021-07-15,1707,2381,1800,260,996,307,876,1,3,339
2021-07-16,1617,2244,1730,264,1027,289,961,0,0,334
2021-07-17,1774,2666,1664,228,1025,358,1118,0,5,309
2021-07-18,1937,2729,1638,240,1071,291,1034,2,1,329
2021-07-19,1661,2412,1785,242,1041,327,971,2,3,358
2021-07-20,1732,2417,1694,253,1003,316,919,3,1,312
2021-07-21,1738,2409,1703,223,1077,360,1049,1,2,357
2021-07-22,1720,2416,1916,291,1116,324,934,1,0,245
2021-07-23,1810,2284,1763,259,1025,354,928,0,4,407
2021-07-24,1861,2580,1640,248,958,412,965,1,2,278
2021-07-25,1845,2414,1683,253,1075,402,1062,0,0,270
2021-07-26,1785,2336,1871,259,1114,335,915,0,0,242
2021-07-27,1706,2343,1792,249,1157,326,874,2,0,264
2021-07-28,1727,2242,1807,382,1066,351,1012,1,1,264
2021-07-29,1952,2409,1765,223,1081,353,1726,0,0,256
2021-07-30,1773,2238,1602,238,1036,304,1285,0,1,208
2021-07-31,1851,2495,1563,270,997,372,1092,0,4,220
2021-08-01,1864,2606,1712,270,1070,348,1097,1,0,236
2021-08-02,1674,2338,1941,220,994,291,974,0,2,225
2021-08-03,1621,2138,1737,221,1064,311,1142,1,0,262
2021-08-04,2477,2327,1862,221,1031,402,1034,1,2,276
2021-08-05,1888,2299,1961,287,1115,337,1103,0,1,204
2021-08-06,1712,2476,1724,232,1091,329,984,2,2,219
2021-08-07,1786,2668,1610,279,906,396,1072,2,2,278
2021-08-08,1889,2553,1750,255,1147,421,1107,0,0,240
2021-08-09,1660,2381,1785,311,1046,350,1023,0,0,227
2021-08-10,1722,2173,1868,241,1041,305,1208,3,0,204
2021-08-11,1674,2168,1785,299,1035,370,1074,0,1,252
2021-08-12,1658,2189,1769,248,1339,388,1040,0,0,228
2021-08-13,1662,2387,1689,260,1029,350,992,0,4,244
2021-08-14,1841,2523,1710,208,990,350,1167,1,2,253
2021-08-15,1780,2517,1778,266,1009,323,1129,1,1,224
2021-08-16,1638,2154,1917,220,1099,333,1113,2,0,226
2021-08-17,1713,2045,1955,290,1007,333,1027,1,2,219
2021-08-18,1635,2362,1907,282,1034,376,1231,3,2,211
2021-08-19,1755,2415,1922,289,1142,325,1119,3,1,231
2021-08-20,1670,2479,1767,310,1048,320,1095,1,1,234
2021-08-21,1892,3028,1757,287,1080,303,1190,1,2,239
2021-08-22,1914,2677,1849,226,1150,345,1230,3,0,240
2021-08-23,1806,2391,1963,238,1079,301,1208,4,1,213
2021-08-24,1695,2383,1900,278,1158,346,1023,3,1,263
2021-08-25,1742,2352,1909,270,1180,352,1065,1,1,232
2021-08-26,1706,2516,2235,260,995,293,1006,2,1,203
2021-08-27,1521,2233,1828,307,1014,339,1075,3,1,234
2021-08-28,1705,2450,1802,233,1057,351,1044,1,5,221
2021-08-29,1948,2523,1684,260,1137,338,1175,0,2,230
2021-08-30,1629,2333,1965,309,1093,281,1035,2,4,205
2021-08-31,1722,2208,2008,268,1047,301,921,3,2,215
2021-09-01,1685,2083,1969,296,1033,304,997,2,3,195
2021-09-02,1693,2326,1760,292,1048,287,1284,2,1,186
2021-09-03,1701,2374,1770,245,1055,298,1323,4,3,185
2021-09-04,1856,2684,2182,249,968,380,1251,4,2,207
2021-09-05,1915,2563,1908,261,1110,323,1211,5,1,207
2021-09-06,1839,2305,1964,260,1144,305,1157,0,1,243
2021-09-07,1638,2179,2183,258,1263,273,2076,2,3,203
2021-09-08,1668,2163,1872,308,1146,322,1512,1,3,183
2021-09-09,1695,2180,1835,293,1079,326,1144,2,0,188
2021-09-10,1485,2178,1784,243,1075,374,1053,0,0,164
2021-09-11,1697,2408,1643,265,1052,378,1074,1,4,195
2021-09-12,1829,2674,1891,249,1059,395,1117,1,1,180
2021-09-13,1963,2187,2019,311,1146,301,1116,0,2,207
2021-09-14,1604,2095,1984,277,1071,321,1031,0,1,185
2021-09-15,1599,2081,1984,307,1135,349,1146,0,5,184
